Key,Description,Standard
SAY.flowchart_Game_Chapter_05.1444.,,第六章 \n背后的真相
SAY.flowchart_Game_Chapter_05.1454.,,这个雅克布真的是你的导师吗？\n
SAY.flowchart_Game_Chapter_05.1455.,,当然是啊，怎么？\n
SAY.flowchart_Game_Chapter_05.1456.,,那按照你这样说，他一定是个经验丰富的高人咯。{wc}\n为什么还要去做吧台侍者呢？
SAY.flowchart_Game_Chapter_05.1463.,,因为他十分善于发现每个人的特性，也很乐意和你们年轻人交流。{wc}\n不瞒你说，从你一进到酒吧，雅克布就发现你身上的睿智了。
SAY.flowchart_Game_Chapter_05.1464.,,这。。。原来是他啊。{wc}\n这么说我还得感谢他，让我认识你这么美丽的女神呢。\n
SAY.flowchart_Game_Chapter_05.1465.,,那你待会就多在他那点些酒水，他一定会高兴的。{wc}\n言归正传，你准备好接受真相了么？
SAY.flowchart_Game_Chapter_05.1472.,,一直都在接受啊！女神快快开车！
SAY.flowchart_Game_Chapter_05.1473.,,还记得刚开始我跟你说到的共济会吗？
SAY.flowchart_Game_Chapter_05.1470.,,当然，那个无所不能幕后操控世界的什么团体。{wc}\n成员分布在世界各个大的集团中，暗中制定世界新秩序，{wc}\n控制我们老百姓于无形之中。
SAY.flowchart_Game_Chapter_05.1471.,,好记性啊。{wc}\n我以为我说过一遍你就会忘记了。没想到还记得。
SAY.flowchart_Game_Chapter_05.1468.,,那当然！我天生好记性，呵呵。
SAY.flowchart_Game_Chapter_05.1469.,,好的，那么想知道共济会跟人类诞生的故事有什么联系吗？
SAY.flowchart_Game_Chapter_05.1466.,,卧槽，难道他们真的有所联系？
SAY.flowchart_Game_Chapter_05.1467.,,当然，不然绕这么大一圈干什么。{wc}\n仔细观察现代版本的人类历史，你会发现有很多部分都前后矛盾，{wc}\n或者有些部分干脆被轻描淡写一笔带过。知道是为什么？
SAY.flowchart_Game_Chapter_05.1478.,,不知道啊，{wc}\n难不成共济会为了隐藏秘密故意篡改了历史？
SAY.flowchart_Game_Chapter_05.1479.,,真聪明，的确如此。{wc}\n他们不仅仅篡改了一部分历史，为了掩盖那个不为人知的秘密。{wc}\n这些人几乎篡改了全部的西方古代历史。{wc}\n从新约圣经开始，到古希腊古罗马的历史，统统篡改了。
SAY.flowchart_Game_Chapter_05.1476.,,不了个是吧！？{wc}\n这改动起来可不容易吧，何必要如此大动干戈啊？
SAY.flowchart_Game_Chapter_05.1477.,,这就是问题的关键。{wc}\n人类创世以来，有很多的历史和真相都和现今的观点和学术不同。{wc}\n之前我也说过，你所学到听到的看到的现今世界，都不是真实的。{wc}\n它们都是共济会等团体处心积虑一点点构建出来的幻象。{wc}\n那么共济会等团体背后到底在隐藏一些什么呢？
SAY.flowchart_Game_Chapter_05.1474.,,对啊，到底是为什么呢？\n
SAY.flowchart_Game_Chapter_05.1485.,,让我们再次回到苏美尔时期，根据我们的猜测和考证。{wc}\n人类在被最初创造出来之前。这个世界上只有那些神的存在。{wc}\n他们以各种的形式在这个世界上创造了辉煌且漫长的历史，并不断的演变。{wc}\n而人类的创造，是在比较后期，一个比较敏感的状态下被创造出来的。
SAY.flowchart_Game_Chapter_05.1496.,,苏美尔人类把这些神们称呼为安奴纳奇人。我们也姑且就这么称呼他们吧。{wc}\n安奴纳奇人在这个世界上是一个家族的形式存在的。{wc}\n从最高权力的安，再到他的两个儿子 恩利尔和恩基。{wc}\n再到恩利尔的后代和恩基的后代，他们在这个世界的历史上创造了辉煌的故事。{wc}\n而创造人类的决议也是在众神商议下，在争议中决定下来的。
SAY.flowchart_Game_Chapter_05.1495.,,原来如此啊。
SAY.flowchart_Game_Chapter_05.1494.,,最初的时候，安奴纳奇家族的神族们，他们住在“天上”，{wc}\n一个我们没发到达的“天堂”世界。{wc}\n当天地被分开之际。{wc}\n他们最初是安排恩基来到地面上，进行对大地和海洋的管理和考察。{wc}\n最初的地面和海洋的环境还比较险恶，{wc}\n在恩基一行的安奴纳奇人的精心设计和改造下，逐渐产生了更好的秩序。{wc}\n但是安奴纳奇人毕竟人数有限。{wc}\n很多非常困难和艰险的任务无法靠他们自身的力量去完成。{wc}\n因此在多次和安奴纳奇总部的大神商议下，决定以安奴纳奇人的原型，{wc}\n在大地上利用已有的动物进行基因改造，创造出能力与安奴纳奇人相近的新的物种。{wc}\n安奴纳奇人指派了宁玛，生物工程师，生育女神，配合恩基。{wc}\n在非洲南部的地面上创造出了第一批人类。{wc}\n他们就是最早期的黑人，那时的黑人被创造出来还经过了多次的改造，{wc}\n从无性繁殖到最终形成男性和女性，拥有了生殖能力。{wc}\n成为了最早的第一批alpha人类。{wc}\n这些黑人奴隶被创造出来后，协助安奴纳奇更加快速和高效的治理了世界。{wc}\n让地面和海洋的生态越来越完善。并且，还包揽了更加艰难的采矿工作。{wc}\n所以至今，在非洲大路上都能发现很多难以置信的古老的矿坑，{wc}\n以及里面有上万年历史的黑人骸骨。\n
SAY.flowchart_Game_Chapter_05.1497.,,你是说，等于是 那个宁玛和恩基一起创造了最早的人类？{wc}\n真是太不可思议了。简直想看科幻小说啊。{wc}\n真的难以相信这是人类诞生的真正历史。
SAY.flowchart_Game_Chapter_05.1493.,,的确，这听上去确实很有点科幻小说的意味。{wc}\n但是有很多证据显示，包括分子细胞基因学，都证明人类最早诞生在非洲。{wc}\n并且在及其短的时间，横跨欧非大陆，进入了世界多个地区。{wc}\n有些“科学家”提出了他们大量迁徙过去的。其实这个理论根本站不脚。{wc}\n那个时期的人类根本不具备快速迁徙的能力。{wc}\n很显然，在那个时期，安奴纳奇人拥有极为先进的空间传输工具。{wc}\n这些非洲原始alpha人类，是被大量的传输到了世界的各个角落，{wc}\n帮助他们在那些地址建立文明的。
SAY.flowchart_Game_Chapter_05.1498.,,你是说他们有飞行器或者空间传输的工具？
SAY.flowchart_Game_Chapter_05.1492.,,我这么认为。{wc}\n苏美尔泥板中也详细的描述到了这些大神们拥有非常接近飞机火箭之类的飞行器。{wc}\n所以西琴曾猜测，安奴纳奇人来自外星，一个被记述为尼比鲁的星球。{wc}\n不过目前我们姑且不去细说。因为我们认为西琴在这方面的理解可能是错误的。{wc}\n因为这个话题牵扯到另一个争议的秘密，我在之后的时间再跟你慢慢说明。
SAY.flowchart_Game_Chapter_05.1491.,,我靠，又有秘密啊。{wc}\n好期待的说。
